附件1：违法网站域名（13480个）,,,,
序号,网站名称,URL,网站IP地址,类别
188,9955狩猎网,http://qigouok.in,14.102.252.78,涉枪
189,"气枪气枪专卖网 ",http://qigouwang1957.com,205.209.184.134,涉枪
190,长期出售各种气枪,http://qiqi1.com,72.11.151.54,涉枪
191,上海工字销售点,http://qiqiang.awardspace.biz,83.125.22.158,涉枪
192,新空间建站,http://qiqiang.xinme.com,66.79.182.223,涉枪
193,"气枪货到付款大全 ",http://qiqiang00.info,50.6.206.2,涉枪
194,气枪淘宝高压气枪,http://qiqiang000.com,74.63.77.100,涉枪
195,昆明气枪专卖网,http://qiqiang01.info,173.252.196.190,涉枪
196,贵州气枪专卖网,http://qiqiang06.info,173.252.196.190,涉枪
197,"郑州气枪专卖网 ",http://qiqiang07.info,173.252.196.190,涉枪
198,"气枪专卖网 ",http://qiqiang09.info,173.252.196.190,涉枪
199,"上海工字牌气枪指定销售点 (2)",http://qiqiang1.freehostia.com,66.40.52.180,涉枪
200,气枪进口气枪,http://qiqiang1122.com,67.159.29.140,涉枪
201,仿真枪气枪专卖网,http://qiqiang114.com,74.63.77.98,涉枪
202,气枪气狗仿真枪专卖,http://qiqiang119.com,208.53.161.172,涉枪
203,气枪倒卖,http://qiqiang125.com,67.159.29.131,涉枪
204,仿真枪专卖店,http://qiqiang147.com,67.159.23.146,涉枪
205,"汽枪专卖网 ",http://qiqiang19.info,113.28.85.42,涉枪
206,"气枪气狗仿真枪 ",http://qiqiang-2.com,208.53.161.141,涉枪
207,"气枪气狗仿真枪 ",http://qiqiang-3.com,66.90.74.66,涉枪
208,仿真枪仿真枪专卖店,http://qiqiang310.com,74.63.77.100,涉枪
209,气狗专卖,http://qiqiang333.com,74.82.160.27,涉枪
210,气枪专卖网,http://qiqiang-333.com,76.164.231.228,涉枪
211,进口气枪气枪支付宝,http://qiqiang4455.com,208.53.161.170,涉枪
212,"气枪气狗 ",http://qiqiang456.com,67.159.23.148,涉枪
213,气枪专卖网,http://qiqiang4762.com,174.139.85.204,涉枪
214,气枪货到付款,http://qiqiang-5.com,66.90.74.73,涉枪
215,"气枪气狗仿真枪 ",http://qiqiang512.com,74.63.76.109,涉枪
216,美国原装秃鹰专卖网,http://qiqiang521.com,209.188.31.198,涉枪
217,"金属仿真枪 
",http://qiqiang567.info,76.73.86.179,涉枪
218,气枪专卖,http://qiqiang5688.com,173.254.203.243,涉枪
219,仿真枪专卖网,http://qiqiang6.com,74.63.77.101,涉枪
220,"气枪专卖 ",http://qiqiang6788.com,173.254.203.243,涉枪
221,"气枪专卖网 (63)",http://qiqiang6912.com,174.139.85.204,涉枪
222,"汽枪专卖网 ",http://qiqiang7.com,173.224.208.188,涉枪
223,气枪七七七,http://qiqiang777.net,70.39.115.69,涉枪
224,"上海工字气枪网 ",http://qiqiang89.com,216.24.202.186,涉枪
225,"气枪汽狗 ",http://qiqiang898.com,203.198.129.97,涉枪
226,"气枪货到付款 ",http://qiqiangba.info,96.0.118.2,涉枪
227,"气枪原理 ",http://qiqiangbbs.com,208.53.161.173,涉枪
228,"气枪原理 ",http://qiqiang-cc.com,66.90.74.66,涉枪
229,仿真枪专卖店,http://qiqiang-cn.com,67.159.29.131,涉枪
230,广东气枪铅弹营销总站点,http://qiqiangdan.com,216.24.200.42,涉枪
231,"气枪货到付款 ",http://qiqiangdian.info,50.6.127.37,涉枪
232,气狗专卖大全,http://qiqiangha.info,50.6.127.35,涉枪
233,气枪子弹气狗,http://qiqiang-me.com,74.63.77.98,涉枪
234,"气枪仿真枪专卖网 ",http://qiqiang-net.com,74.63.77.98,涉枪
235,北京气枪批发网,http://qiqiangpf.com,174.139.68.28,涉枪
236,气枪子弹气枪铅弹,http://qiqiangtupian.com,204.12.220.204,涉枪
237,高压汽枪专卖店,http://qiqiangw.webng.com,38.100.19.105,涉枪
238,气枪专卖网,http://qiqib.com,72.11.151.54,涉枪
239,长期出售各种气枪汽狗,http://qiqib1.com,72.11.151.58,涉枪
240,"汽狗_汽狗专卖 
",http://qq006.info,184.105.174.188,涉枪
241,工字牌气枪,http://qq01.info,50.6.14.80,涉枪
242,气枪价格销售,http://qq3.qiqiang7876.info,69.46.69.130,涉枪
243,户外守猎用品制造厂,http://qqmill.com,173.252.204.105,涉枪
244,枪神气枪专卖店,http://qs2233.com,98.126.227.142,涉枪
245,气枪货到付款,http://qxdjn.info,72.11.151.56,涉枪
246,枪友之家重装武力,http://qyzj.hendrispace.com,64.37.49.130,涉枪
247,上海工字气枪销售点,http://shgz.cwsurf.de,85.195.104.20,涉枪
248,"上海工字气枪专卖网 
",http://shgzqq.webng.com,38.100.19.122,涉枪
249,宾果商城,http://shot007.com,182.16.31.219,涉枪
250,狩猎王配件,http://shouliewang999.com,121.189.19.22,涉枪
251,全国气枪货到付款信息大全,http://starfrp.com,50.6.10.46,涉枪
252,"台湾秃鹰气枪 
",http://stupee.net,183.90.185.33,涉枪
253,气枪专卖网,http://tr1.qiqib.com,72.11.151.53,涉枪
254,气枪专卖网,http://tr2.qiqi222.com,72.11.151.53,涉枪
255,军事天地,http://tr8.qiqi333.com,72.11.151.55,涉枪
256,仿真玩具枪专卖网,http://uasnt.woodenpro.com,63.141.229.51,涉枪
257,"pcp气枪专卖 
",http://w.qqwert.net,38.100.19.120,涉枪
258,汽枪简介与汽枪常识,http://webng.com,38.100.19.122,涉枪
259,"气枪链接网 ",http://webqiang.info,183.90.185.33,涉枪
260,气枪高压气枪网,http://werq.981-aho123.com,64.32.22.229,涉枪
261,金马商行气枪专卖,http://whx520.com,173.254.217.146,涉枪
262,枪迷交流平台,http://ww.777zaxsqaws777.com,96.44.186.116,涉枪
263,气枪专卖网,http://wwqw.qiqib1.com,72.11.151.59,涉枪
264,气枪专卖网,http://wwvcc.qiqi0.com,72.11.151.55,涉枪
265,"气枪支付宝 
",http://www.10000kj.com,173.208.189.142,涉枪
266,气枪专卖网,http://www.111zaxsqaws111.com,72.11.151.62,涉枪
267,南宁气枪专卖网,http://www.136xaqq.com,97.74.27.128,涉枪
268,"上海气枪网 ",http://www.13764865388.com,174.139.68.29,涉枪
269,"汽枪网 ",http://www.163qiqiang.co.cc,66.212.29.141,涉枪
270,"诚信工作站 ",http://www.1y2y.co.cc,96.44.187.13,涉枪
271,工字汽狗,http://www.1y3y.co.cc,96.46.2.138,涉枪
